,Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,sentiments,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes
0,Hot Rod,2007,39,42.918,Akiva Schaffer,"Andy Samberg, Jorma Taccone, Bill Hader, Danny R. McBride","For Rod Kimball (Andy Samberg), performing stunts is a way of life, even though he is rather accident-prone. Poor Rod...",negative,14371564.0,Comedy,6.7,43.0,88.0,84956.0
1,Game Night,2018,85,99.838,John Francis Daley,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party...,positive,117378084.0,Comedy,6.9,66.0,100.0,229292.0
2,The First Wives Club,1996,49,53.174,Hugh Wilson,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith","Despondent over the marriage of her ex-husband to a younger woman, a middle-aged divorcée plunges to her death from her...",negative,181489203.0,Comedy,6.4,58.0,103.0,48413.0
3,Scary Movie,2000,52,54.973,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Cheri Oteri, Shannon Elizabeth","Defying the very notion of good taste, Scary Movie out-parodies the pop culture parodies with a no-holds barred assault on...",positive,277200000.0,Comedy,6.2,48.0,88.0,254927.0
4,Blockers,2018,84,96.883,Kay Cannon,"Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton","Julie, Kayla and Sam are three high school seniors who make a pact to lose their virginity on prom night....",negative,94523781.0,Comedy,6.2,69.0,102.0,78498.0
5,Mrs. Doubtfire,1993,72,75.039,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein","Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help...",negative,441286003.0,Comedy,7.0,53.0,125.0,264071.0
6,Pitch Perfect,2012,81,86.532,Jason Moore,"Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine","College student Beca (Anna Kendrick) knows she does not want to be part of a clique, but that's exactly where...",negative,116044347.0,Comedy,7.1,66.0,112.0,299964.0
7,Four Lions,2009,83,87.28,Christopher Morris,"Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak","A group of young Muslim men living in Sheffield decide to wage jihad, and they hatch an inept plan to...",negative,8607693.0,Comedy,7.2,68.0,97.0,77085.0
8,Big,1988,97,102.285,Penny Marshall,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard","After a wish turns 12-year-old Josh Baskin (David Moscow) into a 30-year-old man (Tom Hanks), he heads to New York...",positive,151665347.0,Comedy,7.3,73.0,104.0,215913.0
9,Wet Hot American Summer,2001,37,39.436,David Wain,"Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau","Set on the last day of camp, in the hot summer of 1981, ""Wet Hot American Summer"" follows a group...",negative,292102.0,Comedy,6.5,42.0,97.0,57434.0
